"EF_measure","Units.used.for.EF","EF_type","EF_UI","SE_UI","SS_UI","EF_I","SE_I","SS_I","Var","Dom_nat","Inv_sp","Study","SiteID","Year","Latitude","Longitude","Exp_obs","Ecosystem","Terr_aqu","Native_height","Inv_height","Native_woodiness","Inv_woodiness","Native_C3","Inv_C3","Temp","Precip","CWD"
"Aboveground plant biomass","grams per metre squared","Aboveground biomass",290,12.34952226,3,354.8,33.42858059,3,"","Eleocharis smallii","Typha x glauca","Angeloni et al 2006","Angeloni et al 2006a",2006,45.663007,-84.423323,"Observational","Freshwater wetland","Aquatic",0.45,1.35,0,0,1,NA,58.063008041396,764.90177579302,-173.850331373113
"Aboveground biomass","grams of biomass per metre squared","Aboveground biomass",147.8012,24.7796,5,214.8749,22.9445,5,"","Krascheninnikovia lanata","Bromus tectorum","Blank et al 2008","Blank et al 2008a",2008,40.13633333,-120.0731667,"Observational","Scrub","Terrestrial",0.75,0.65,1,0,NA,1,95.8707962103599,321.203007999999,-1063.65743501896
"Aboveground carbon storage","grams of carbon per metre squared","Aboveground biomass",340,145,10,96,26,10,"","Artemisia tridentata","Bromus tectorum","Bradley et al 2006","Bradley et al 2006b",2006,41,-117.58,"Observational","Scrub","Terrestrial",1.75,0.65,1,0,1,1,84.5399999999997,246.780000000001,-1152.77456298827
"Aboveground carbon storage","grams of carbon per metre squared","Aboveground biomass",670,290,10,22,2,10,"","Artemisia tridentata","Bromus tectorum","Bradley et al 2006","Bradley et al 2006c",2006,40.99,-117.86,"Observational","Scrub","Terrestrial",1.75,0.65,1,0,1,1,93.8599999999999,220.8608,-1200.14062275391
"Aboveground carbon storage","grams of carbon per metre squared","Aboveground biomass",160,49,10,48,6,10,"","Atriplex confertifolia","Bromus tectorum","Bradley et al 2006","Bradley et al 2006a",2006,40.57,-118.34,"Observational","Scrub","Terrestrial",0.6,0.65,1,0,0,1,92.7488,214.2896,-1191.1454796875
"Biomass","grams of dry matter per metre squared","Aboveground biomass",357,43.68256708,6,917,62.05374015,6,"","Dactylis glomerata","Solidago gigantea","Chapuis-Lardy et al 2006","Chapuis-Lardy et al 2006a",2006,50.85,4.416667,"Observational","Wasteland","Terrestrial",0.8,2,0,0,1,1,100.8000008,801.3999932,-154.366681649412
"Biomass","grams of dry matter per metre squared","Aboveground biomass",252,51.4392846,6,891,41.64132563,6,"","Agrostis stolonifera","Solidago gigantea","Chapuis-Lardy et al 2006","Chapuis-Lardy et al 2006b",2006,50.865778,4.469376,"Observational","Grassland","Terrestrial",0.7,2,0,0,1,1,101.180567076992,797.395710768129,-160.237513231871
"Biomass","grams of dry matter per metre squared","Aboveground biomass",438,69.81045767,6,760,69.40220938,6,"","Calamagrostis epigejos","Solidago gigantea","Chapuis-Lardy et al 2006","Chapuis-Lardy et al 2006c",2006,50.453569,3.819122,"Observational","Grassland","Terrestrial",1.3,2,0,0,1,1,100,774.557626231616,-148.917478721144
"Aboveground biomass","","Aboveground biomass",1941.80858,131.92386,3,2405.3246,184.64098,3,"","Phragmites australis","Spartina alterniflora","Cheng et al (2007)","Cheng et al (2007)a",2007,31.15,122,"Experimental","Freshwater wetland","Aquatic",2,1.35,0,0,1,0,159.55,1002.75,NA
"Aboveground biomass","","Aboveground biomass",42.0435,12.3299,5,69.75,15.27665,5,"","Bouteloua gracialis","Agropyron cristatum","Christian et al (1999)","Christian et al (1999)a",1999,49.36666667,-107.8833333,"Observational","Grassland","Terrestrial",0.225,0.4,0,0,0,1,37.420000092,341.49999872,-655.155005728001
"Aboveground biomass","tonnes per hectare of biomass","Aboveground biomass",1.7,0.1,3,8.6,1,3,"","Themeda trianda","Pennisetum polystachion","Douglas et al 2004","Douglas et al 2004a",2004,-13.15,130.65,"Observational","Forest","Terrestrial",1.5,1.65,0,0,0,0,272.16,1403.28,-1081.17124999999
"Aboveground biomass","","Aboveground biomass",1.93,0.13,5,1.47,0.04,5,"","Typha latifolia","Lythrum salicaria","Fickbohm et al 2006","Fickbohm et al 2006a",2006,43,-76.75,"Observational","Freshwater wetland","Aquatic",2.25,1.5,0,0,1,1,86.5,898.999999999999,-192.437500000001
