"","Name","Location","Nat_Inv","Invasive","record"
"3","Carduus nutans","China","","Invasive",4924
"10","Carduus nutans","Turkey","Native","Invasive",4924
"13","Carduus nutans","Alberta","Introduced","Invasive",4924
"14","Carduus nutans","British Columbia","Introduced","Invasive",4924
"15","Carduus nutans","Manitoba","Introduced","Invasive",4924
"16","Carduus nutans","New Brunswick","Introduced","Invasive",4924
"17","Carduus nutans","Newfoundland and Labrador","Introduced","Invasive",4924
"18","Carduus nutans","Ontario","Introduced","Invasive",4924
"20","Carduus nutans","Saskatchewan","Introduced","Invasive",4924
"22","Carduus nutans","Alabama","Introduced","Invasive",4924
"23","Carduus nutans","Arizona","Introduced","Invasive",4924
"24","Carduus nutans","Arkansas","Introduced","Invasive",4924
"25","Carduus nutans","California","Introduced","Invasive",4924
"26","Carduus nutans","Colorado","Introduced","Invasive",4924
"27","Carduus nutans","Connecticut","Introduced","Invasive",4924
"28","Carduus nutans","Delaware","Introduced","Invasive",4924
"29","Carduus nutans","Georgia","Introduced","Invasive",4924
"30","Carduus nutans","Idaho","Introduced","Invasive",4924
"31","Carduus nutans","Illinois","Introduced","Invasive",4924
"32","Carduus nutans","Indiana","Introduced","Invasive",4924
"33","Carduus nutans","Iowa","Introduced","Invasive",4924
"34","Carduus nutans","Kansas","Introduced","Invasive",4924
"35","Carduus nutans","Kentucky","Introduced","Invasive",4924
"36","Carduus nutans","Louisiana","Introduced","Invasive",4924
"37","Carduus nutans","Maryland","Introduced","Invasive",4924
"38","Carduus nutans","Massachusetts","Introduced","Invasive",4924
"39","Carduus nutans","Michigan","Introduced","Invasive",4924
"40","Carduus nutans","Minnesota","Introduced","Invasive",4924
"41","Carduus nutans","Mississippi","Introduced","Invasive",4924
"42","Carduus nutans","Missouri","Introduced","Invasive",4924
"43","Carduus nutans","Montana","Introduced","Invasive",4924
"44","Carduus nutans","Nebraska","Introduced","Invasive",4924
"45","Carduus nutans","Nevada","Introduced","Invasive",4924
"46","Carduus nutans","New Hampshire","Introduced","Invasive",4924
"47","Carduus nutans","New Jersey","Introduced","Invasive",4924
"48","Carduus nutans","New Mexico","Introduced","Invasive",4924
"49","Carduus nutans","New York","Introduced","Invasive",4924
"50","Carduus nutans","North Carolina","Introduced","Invasive",4924
"51","Carduus nutans","North Dakota","Introduced","Invasive",4924
"52","Carduus nutans","Ohio","Introduced","Invasive",4924
"53","Carduus nutans","Oklahoma","Introduced","Invasive",4924
"54","Carduus nutans","Oregon","Introduced","Invasive",4924
"55","Carduus nutans","Pennsylvania","Introduced","Invasive",4924
"56","Carduus nutans","Rhode Island","Introduced","Invasive",4924
"57","Carduus nutans","South Carolina","Introduced","Invasive",4924
"58","Carduus nutans","South Dakota","Introduced","Invasive",4924
"59","Carduus nutans","Tennessee","Introduced","Invasive",4924
"60","Carduus nutans","Texas","Introduced","Invasive",4924
"61","Carduus nutans","Utah","Introduced","Invasive",4924
"62","Carduus nutans","Virginia","Introduced","Invasive",4924
"63","Carduus nutans","Washington","Introduced","Invasive",4924
"64","Carduus nutans","West Virginia","Introduced","Invasive",4924
"65","Carduus nutans","Wisconsin","Introduced","Invasive",4924
"66","Carduus nutans","Wyoming","Introduced","Invasive",4924
"67","Carduus nutans","Argentina","Introduced","Invasive",4924
"68","Carduus nutans","Uruguay","Introduced","Invasive",4924
"69","Carduus nutans","Austria","Native","Invasive",4924
"75","Carduus nutans","Germany","Native","Invasive",4924
"76","Carduus nutans","Hungary","Native","Invasive",4924
"83","Carduus nutans","Poland","Native","Invasive",4924
"84","Carduus nutans","Russian Federation","Native","Invasive",4924
"96","Carduus nutans","New South Wales","Introduced","Invasive",4924
"97","Carduus nutans","Queensland","Introduced","Invasive",4924
"98","Carduus nutans","South Australia","Introduced","Invasive",4924
"99","Carduus nutans","Tasmania","Introduced","Invasive",4924
"100","Carduus nutans","Victoria","Introduced","Invasive",4924
"101","Carduus nutans","Western Australia","Introduced","Invasive",4924
"102","Carduus nutans","New Zealand","Introduced","Invasive",4924
"15173","Bromus sterilis","Egypt","Introduced","Invasive",4923
"18149","Bromus sterilis","Tunisia","Native","Invasive",4923
"4787","Bromus sterilis","Tennessee","Introduced","Invasive",4923
"5874","Bromus sterilis","Czech Republic","Native","Invasive",4923
"8461","Bromus sterilis","Sweden","Native","Invasive",4923
"85","Bromus sterilis","Switzerland","Native","Invasive",4923
"86","Bromus sterilis","UK","Native","Invasive",4923
"89","Bromus sterilis","Australia","Introduced","Invasive",4923
"90","Bromus sterilis","Victoria","Introduced","Invasive",4923
"91","Bromus sterilis","New Zealand","Introduced","Invasive",4923
"13192","Bromus madritensis","Egypt","Native","Invasive",4922
"16177","Bromus madritensis","South Africa","Introduced","Invasive",4922
"19","Bromus madritensis","Tunisia","Native","Invasive",4922
"21","Bromus madritensis","British Columbia","Introduced","Invasive",4922
"22166","Bromus madritensis","Mexico","Introduced","Invasive",4922
"23140","Bromus madritensis","USA","Introduced","Invasive",4922
"24129","Bromus madritensis","Arizona","Introduced","Invasive",4922
"25149","Bromus madritensis","California","Introduced","Invasive",4922
"26142","Bromus madritensis","Hawaii","Introduced","Invasive",4922
"27124","Bromus madritensis","Idaho","Introduced","Invasive",4922
"31136","Bromus madritensis","Nevada","Introduced","Invasive",4922
"32127","Bromus madritensis","Oregon","Introduced","Invasive",4922
"33110","Bromus madritensis","Texas","Introduced","Invasive",4922
"37115","Bromus madritensis","British Virgin Islands","Introduced","Invasive",4922
"61120","Bromus madritensis","Australia","Introduced","Invasive",4922
"4","Vincetoxicum nigrum","USA","Introduced","Invasive",4919
"6","Vincetoxicum nigrum","Connecticut","Introduced","Invasive",4919
"11","Vincetoxicum nigrum","Maine","Introduced","Invasive",4919
"13191","Vincetoxicum nigrum","Massachusetts","Introduced","Invasive",4919
"14176","Vincetoxicum nigrum","Michigan","Introduced","Invasive",4919
"17163","Vincetoxicum nigrum","New Hampshire","Introduced","Invasive",4919
"18148","Vincetoxicum nigrum","New Jersey","Introduced","Invasive",4919
"19152","Vincetoxicum nigrum","New York","Introduced","Invasive",4919
"21152","Vincetoxicum nigrum","Pennsylvania","Introduced","Invasive",4919
"22165","Vincetoxicum nigrum","Rhode Island","Introduced","Invasive",4919
"23139","Vincetoxicum nigrum","Vermont","Introduced","Invasive",4919
"24128","Vincetoxicum nigrum","Wisconsin","Introduced","Invasive",4919
"19151","Tribulus cistoides","Florida","","Invasive",4918
"4786","Tribulus cistoides","Australian Northern Territory","","Invasive",4918
"5","Tamarix parviflora","Arizona","Introduced","Invasive",4917
"6293","Tamarix parviflora","California","Introduced","Invasive",4917
"22164","Tamarix parviflora","New Mexico","Introduced","Invasive",4917
"28111","Tamarix parviflora","Texas","Introduced","Invasive",4917
"8","Tamarix gallica","Texas","Introduced","Invasive",4916
"12","Tamarix canariensis","Texas","Introduced","Invasive",4915
"31135","Tamarix aphylla","South Africa","Introduced","Invasive",4914
"40121","Tamarix aphylla","Hawaii","Introduced","Invasive",4914
"4693","Tamarix aphylla","Australia","Introduced","Invasive",4914
"4785","Tamarix aphylla","Australian Northern Territory","Introduced","Invasive",4914
"4874","Tamarix aphylla","New South Wales","Introduced","Invasive",4914
"4998","Tamarix aphylla","Queensland","Introduced","Invasive",4914
"5090","Tamarix aphylla","South Australia","Introduced","Invasive",4914
"51125","Tamarix aphylla","Western Australia","Introduced","Invasive",4914
"11258","Senecio madagascariensis","Argentina","Introduced","Invasive",4913
"17162","Senecio madagascariensis","New South Wales","Introduced","Invasive",4913
"18147","Senecio madagascariensis","Queensland","Introduced","Invasive",4913
"19150","Senecio madagascariensis","Victoria","Introduced","Invasive",4913
"16176","Salsola vermiculata","California","Introduced","Invasive",4912
"1","Rumex obtusifolius","Afghanistan","Native","Invasive",4911
"2","Rumex obtusifolius","Armenia","Native","Invasive",4911
"3407","Rumex obtusifolius","Azerbaijan","Native","Invasive",4911
"4409","Rumex obtusifolius","China","Introduced","Invasive",4911
"10256","Rumex obtusifolius","Japan","Introduced","Invasive",4911
"15172","Rumex obtusifolius","Lesotho","Introduced","Invasive",4911
"16175","Rumex obtusifolius","Namibia","Introduced","Invasive",4911
"17161","Rumex obtusifolius","South Africa","Introduced","Invasive",4911
"18146","Rumex obtusifolius","Canada","Introduced","Invasive",4911
"19149","Rumex obtusifolius","British Columbia","Introduced","Invasive",4911
"21151","Rumex obtusifolius","Mexico","Introduced","Invasive",4911
"22163","Rumex obtusifolius","USA","Introduced","Invasive",4911
"23138","Rumex obtusifolius","Alabama","Introduced","Invasive",4911
"24127","Rumex obtusifolius","Alaska","Introduced","Invasive",4911
"25148","Rumex obtusifolius","Arizona","Introduced","Invasive",4911
"26141","Rumex obtusifolius","Arkansas","Introduced","Invasive",4911
"27123","Rumex obtusifolius","California","Introduced","Invasive",4911
"28109","Rumex obtusifolius","Colorado","Introduced","Invasive",4911
"29121","Rumex obtusifolius","Connecticut","Introduced","Invasive",4911
"30114","Rumex obtusifolius","Delaware","Introduced","Invasive",4911
"31134","Rumex obtusifolius","Florida","Introduced","Invasive",4911
"32126","Rumex obtusifolius","Georgia","Introduced","Invasive",4911
"33109","Rumex obtusifolius","Hawaii","Introduced","Invasive",4911
"34107","Rumex obtusifolius","Idaho","Introduced","Invasive",4911
"35111","Rumex obtusifolius","Illinois","Introduced","Invasive",4911
"36112","Rumex obtusifolius","Indiana","Introduced","Invasive",4911
"37114","Rumex obtusifolius","Iowa","Introduced","Invasive",4911
"38109","Rumex obtusifolius","Kansas","Introduced","Invasive",4911
"39106","Rumex obtusifolius","Kentucky","Introduced","Invasive",4911
"40120","Rumex obtusifolius","Louisiana","Introduced","Invasive",4911
"41143","Rumex obtusifolius","Maine","Introduced","Invasive",4911
"42120","Rumex obtusifolius","Maryland","Introduced","Invasive",4911
"43110","Rumex obtusifolius","Massachusetts","Introduced","Invasive",4911
"4495","Rumex obtusifolius","Michigan","Introduced","Invasive",4911
"4590","Rumex obtusifolius","Minnesota","Introduced","Invasive",4911
"4692","Rumex obtusifolius","Mississippi","Introduced","Invasive",4911
"4784","Rumex obtusifolius","Missouri","Introduced","Invasive",4911
"4873","Rumex obtusifolius","Montana","Introduced","Invasive",4911
"4997","Rumex obtusifolius","Nebraska","Introduced","Invasive",4911
"5089","Rumex obtusifolius","New Hampshire","Introduced","Invasive",4911
"51124","Rumex obtusifolius","New Jersey","Introduced","Invasive",4911
"52106","Rumex obtusifolius","New Mexico","Introduced","Invasive",4911
"5382","Rumex obtusifolius","New York","Introduced","Invasive",4911
"5475","Rumex obtusifolius","North Carolina","Introduced","Invasive",4911
"5579","Rumex obtusifolius","Ohio","Introduced","Invasive",4911
"5679","Rumex obtusifolius","Oklahoma","Introduced","Invasive",4911
"5784","Rumex obtusifolius","Oregon","Introduced","Invasive",4911
"5873","Rumex obtusifolius","Pennsylvania","Introduced","Invasive",4911
"5979","Rumex obtusifolius","Rhode Island","Introduced","Invasive",4911
"6074","Rumex obtusifolius","South Carolina","Introduced","Invasive",4911
"61119","Rumex obtusifolius","South Dakota","Introduced","Invasive",4911
"6294","Rumex obtusifolius","Tennessee","Introduced","Invasive",4911
"6383","Rumex obtusifolius","Texas","Introduced","Invasive",4911
"6480","Rumex obtusifolius","Utah","Introduced","Invasive",4911
"6578","Rumex obtusifolius","Vermont","Introduced","Invasive",4911
"6668","Rumex obtusifolius","Virginia","Introduced","Invasive",4911
"6781","Rumex obtusifolius","Washington","Introduced","Invasive",4911
"6871","Rumex obtusifolius","West Virginia","Introduced","Invasive",4911
"6973","Rumex obtusifolius","Wisconsin","Introduced","Invasive",4911
"70","Rumex obtusifolius","Wyoming","Introduced","Invasive",4911
"72","Rumex obtusifolius","Argentina","Introduced","Invasive",4911
"73","Rumex obtusifolius","Brazil","Introduced","Invasive",4911
"7572","Rumex obtusifolius","Chile","Introduced","Invasive",4911
"7668","Rumex obtusifolius","Colombia","Introduced","Invasive",4911
"77","Rumex obtusifolius","Peru","Introduced","Invasive",4911
"78","Rumex obtusifolius","Uruguay","Introduced","Invasive",4911
"79","Rumex obtusifolius","Venezuela","Introduced","Invasive",4911
"80","Rumex obtusifolius","Albania","Native","Invasive",4911
"81","Rumex obtusifolius","Austria","Native","Invasive",4911
"8353","Rumex obtusifolius","Belgium","Native","Invasive",4911
"8553","Rumex obtusifolius","Bulgaria","Native","Invasive",4911
"88","Rumex obtusifolius","Czechoslovakia (former)","Native","Invasive",4911
"8953","Rumex obtusifolius","Denmark","Native","Invasive",4911
"93","Rumex obtusifolius","France","Native","Invasive",4911
"95","Rumex obtusifolius","Germany","Native","Invasive",4911
"9849","Rumex obtusifolius","Hungary","Native","Invasive",4911
"9940","Rumex obtusifolius","Ireland","Native","Invasive",4911
"10038","Rumex obtusifolius","Italy","Native","Invasive",4911
"107","Rumex obtusifolius","Netherlands","Native","Invasive",4911
"109","Rumex obtusifolius","Poland","Native","Invasive",4911
"113","Rumex obtusifolius","Russian Federation","Native","Invasive",4911
"120","Rumex obtusifolius","Spain","Native","Invasive",4911
"123","Rumex obtusifolius","Switzerland","Native","Invasive",4911
"124","Rumex obtusifolius","UK","Native","Invasive",4911
"127","Rumex obtusifolius","Ukraine","Native","Invasive",4911
"128","Rumex obtusifolius","Yugoslavia (former)","Native","Invasive",4911
"130","Rumex obtusifolius","Tasmania","Introduced","Invasive",4911
"11256","Polygonum persicaria","Afghanistan","","Invasive",4910
"14175","Polygonum persicaria","Japan","","Invasive",4910
"17160","Polygonum persicaria","Philippines","","Invasive",4910
"23137","Polygonum persicaria","Canada","Introduced","Invasive",4910
"25147","Polygonum persicaria","Manitoba","Introduced","Invasive",4910
"28108","Polygonum persicaria","USA","Introduced","Invasive",4910
"29120","Polygonum persicaria","Alabama","Introduced","Invasive",4910
"32125","Polygonum persicaria","Arkansas","Introduced","Invasive",4910
"33108","Polygonum persicaria","California","Introduced","Invasive",4910
"35110","Polygonum persicaria","Connecticut","Introduced","Invasive",4910
"36111","Polygonum persicaria","Delaware","Introduced","Invasive",4910
"37113","Polygonum persicaria","Florida","Introduced","Invasive",4910
"38108","Polygonum persicaria","Georgia","Introduced","Invasive",4910
"40119","Polygonum persicaria","Illinois","Introduced","Invasive",4910
"41142","Polygonum persicaria","Indiana","Introduced","Invasive",4910
"42119","Polygonum persicaria","Iowa","Introduced","Invasive",4910
"43109","Polygonum persicaria","Kansas","Introduced","Invasive",4910
"4494","Polygonum persicaria","Kentucky","Introduced","Invasive",4910
"4589","Polygonum persicaria","Louisiana","Introduced","Invasive",4910
"4691","Polygonum persicaria","Maine","Introduced","Invasive",4910
"4783","Polygonum persicaria","Maryland","Introduced","Invasive",4910
"4872","Polygonum persicaria","Massachusetts","Introduced","Invasive",4910
"4996","Polygonum persicaria","Michigan","Introduced","Invasive",4910
"5088","Polygonum persicaria","Minnesota","Introduced","Invasive",4910
"51123","Polygonum persicaria","Mississippi","Introduced","Invasive",4910
"52105","Polygonum persicaria","Missouri","Introduced","Invasive",4910
"5474","Polygonum persicaria","Nebraska","Introduced","Invasive",4910
"5678","Polygonum persicaria","New Hampshire","Introduced","Invasive",4910
"5783","Polygonum persicaria","New Jersey","Introduced","Invasive",4910
"5978","Polygonum persicaria","New York","Introduced","Invasive",4910
"6073","Polygonum persicaria","North Carolina","Introduced","Invasive",4910
"61118","Polygonum persicaria","North Dakota","Introduced","Invasive",4910
"6291","Polygonum persicaria","Ohio","Introduced","Invasive",4910
"6382","Polygonum persicaria","Oklahoma","Introduced","Invasive",4910
"6479","Polygonum persicaria","Oregon","Introduced","Invasive",4910
"6577","Polygonum persicaria","Pennsylvania","Introduced","Invasive",4910
"6667","Polygonum persicaria","Rhode Island","Introduced","Invasive",4910
"6780","Polygonum persicaria","South Carolina","Introduced","Invasive",4910
"6870","Polygonum persicaria","South Dakota","Introduced","Invasive",4910
"6972","Polygonum persicaria","Tennessee","Introduced","Invasive",4910
