EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3
Soil % nitrogen,%,Soil Nitrogen,0.0521,NA,NA,0.1042,NA,NA,SE,Encelia farinosa,Pennisetum ciliare,Abella et al (2013),Abella et al (2013)a,2013,32.296745,-111.166626,Observational,Scrub,Terrestrial,0.9,0.5,1,0,1,0
Soil Nitrogen concentration,grams per kg of soil (0-5cm depth),Soil nitrogen,13.8,0.4,5,25.9,0.5,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006a,2006,19.44805556,-154.8611111,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
Soil Phosphorus,grams per kilogram of soil (0-5cm),Soil phosphorus,0.84,0.03,5,0.98,0.02,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006a,2006,19.44805556,-154.8611111,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
Soil nitrogen concentration,grams per kilogram of soil (0-5cm depth),Soil nitrogen,14.5,0.5,5,31.3,0.7,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006b,2006,19.41972222,-154.9538889,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
Soil phophorus concentration,grams per kilogram of soil (0-5cm depth),Soil phosphorus,0.69,0.03,5,0.99,0.06,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006b,2006,19.41972222,-154.9538889,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
Soil nitrogen concentration,grams per kilogram of soil (0-5cm depth),Soil nitrogen,21,0.9,5,23.9,2.5,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006c,2006,19.41972222,-154.9538889,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
Soil phosphorus concentration,grams per kilogram of soil (0-5cm depth),Soil phosphorus,1,0.06,5,0.93,0.12,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006c,2006,19.41972222,-154.9538889,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
soil organic matter,% soil organic matter (0-10cm),Soil carbon,1.98,0.554,5,2.85,0.881,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Soil water content,% soil water content (0-10cm depth),Soil moisture,26.6,2.03,5,33.9,2.76,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Aboveground plant biomass,grams per metre squared,Aboveground biomass,290,12.34952226,3,354.8,33.42858059,3,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Total soluble nitrate in soil,micrograms per gram of soil (0-10cm depth),Soil nitrogen,0.37083,0.0969,5,0.65545,0.11637,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Total soluable inorganic phosphate in soil,micrograms per gram of soil (0-10cm depth),Soil phosphorus,0.09931,0.02703,5,0.2146,0.0875,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Soil humidity,%,Soil moisture,24.5707,1.4024,5,28.421,1.9802,5,NA,Cupania vernalis,Ligustrum lucidum,Aragón et al (2014),Aragón et al (2014)a,2014,27.16666667,-65.58333333,Observational,Forest,Terrestrial,22,10,1,1,NA,1
Inorganic nitrogen pools,micrograms of Nitrogen per gram of soil,Soil Nitrogen,4.35175,1.0032,25,6.06655,1.2829,25,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,Observational,Scrub,Terrestrial,1.95,1.125,1,0,1,0
Soil moisture content,Percentage moisture content of soil fresh weight,Soil moisture,15,8,25,19,6,25,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,Observational,Scrub,Terrestrial,1.95,1.125,1,0,1,0
