ES_UI,SE_UI,SS_UI,ES_I,SE_I,SS_I,Service,Serv_type,Level of organisation,Rel_ES,Final_service,UI_Rich,I_Rich,Lat,Long,Ecosystem,IS_LF,NS_LF,SiteID,StudyID
1.11,0.15,3,2.09,0.23,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,40.65,-8.733333333,Coastal dune,Tree,NA,Marchante et al (2008)a,Marchante et al (2008)
10.690675,2.7628,12,8.31535,2.2911,12,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,40.35,-105.5841064,Grassland,Forb,Grass,Wolf et al (2004)a,Wolf et al (2004)
0.1405,0.0308,72,0.121233333,0.0161,72,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.35,-105.5841064,Grassland,Forb,Grass,Wolf et al (2004)a,Wolf et al (2004)
42.5,0.089442719,5,51.1,0.178885438,5,Yes,Aboveground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,28.85,120.9166667,Mixed,Forb,NA,Zhang et al (2009)a,Zhang et al (2009)
1,0.06,5,0.93,0.12,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,19.41972222,-154.9538889,Forest,Tree,Tree,Allison et al 2006c,Allison et al 2006
1.98,0.554,5,2.85,0.881,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,6,10,45.663007,-84.423323,Wetland,Grass,Grass,Angeloni et al 2006a,Angeloni et al 2006
26.6,2.03,5,33.9,2.76,5,Yes,Water infiltration,Intermediate Service,Positively,Water provision,6,10,45.663007,-84.423323,Wetland,Grass,Grass,Angeloni et al 2006a,Angeloni et al 2006
290,12.34952226,3,354.8,33.42858059,3,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,6,10,45.663007,-84.423323,Wetland,Grass,Grass,Angeloni et al 2006a,Angeloni et al 2006
177.3,4.867062769,3,571.1,47.97780737,3,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,6,10,45.663007,-84.423323,Wetland,Grass,Grass,Angeloni et al 2006a,Angeloni et al 2006
0.37083,0.0969,5,0.65545,0.11637,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,6,10,45.663007,-84.423323,Wetland,Grass,Grass,Angeloni et al 2006a,Angeloni et al 2006
0.09931,0.02703,5,0.2146,0.0875,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,6,10,45.663007,-84.423323,Wetland,Grass,Grass,Angeloni et al 2006a,Angeloni et al 2006
4.35175,1.0032,25,6.06655,1.2829,25,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,21.125,-156.9583333,Scrub,Grass,Shrub,Asner et al (1996)a,Asner at al (1996)
15,8,25,19,6,25,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,21.125,-156.9583333,Scrub,Grass,Shrub,Asner et al (1996)a,Asner at al (1996)
0.5217,0.2235,18,10.5466,4.6956,18,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,37.69027778,-89.25388889,Grassland,Shrub,Grass,Baer et al 2006a,Baer et al 2006
3255.8,164.868766,12,3070.4,73.36818111,12,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,37.69027778,-89.25388889,Grassland,Shrub,Grass,Baer et al 2006a,Baer et al 2006
41.41,10.07676039,12,25.77,4.949555536,12,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,37.69027778,-89.25388889,Grassland,Shrub,Grass,Baer et al 2006a,Baer et al 2006
2.534251282,22.47710053,3,1.902369231,16.11833409,3,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,-9999,-9999,37.69027778,-89.25388889,Grassland,Shrub,Grass,Baer et al 2006a,Baer et al 2006
14.6525,0.716376214,12,14.0732,0.716376214,12,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,34.83333333,-114.5833333,Forest,Tree,Shrub,Busch et al 1995a,Busch et al 1995
2601.3,411.7,24,2440.3,308.2,24,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,34.83333333,-114.5833333,Forest,Tree,Shrub,Busch et al 1995a,Busch et al 1995
92,19,24,105.3,14,24,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,34.83333333,-114.5833333,Forest,Tree,Shrub,Busch et al 1995a,Busch et al 1995
4022.4,566.4,24,3595.2,422.4,24,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,34.83333333,-114.5833333,Forest,Tree,Shrub,Busch et al 1995a,Busch et al 1995
