EF_measure,Units.used.for.EF,EF_type,Organic matter,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3,Temp,Precip,CWD
soil organic matter,% soil organic matter (0-10cm),Soil carbon,y,1.98,0.554,5,2.85,0.881,5,SE,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA,58.06300804,764.9017758,-173.8503314
Organic matter,percentage soil organic matter,Soil carbon,y,0.9,0.1,3,1.3,0.1,3,SE,Pleuraphis jamesii,Bromus tectorum,Belnap et al (2005),Belnap et al (2005)a,2005,38.24878,-109.873495,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1,119.4391717,220.1169066,-1376.690124
Soil Organic Carbon,,Soil carbon,y,6.625,0.690762461,3,5.325,0.058797686,3,SD,Carex lurida,Phalaris arundinacea,Bills et al (2011),Bills et al (2011)a,2011,39.279773,-86.573124,Observational,Freshwater wetland,Aquatic,1,2,0,0,1,1,114.4247153,1091.838708,-205.1353894
Total organic carbon,grams per kg of soil (0-5cm depth),Soil carbon,y,488.8,10.6,4,514.2,14,4,SD,Quercus robur,Quercus rubra,Bonifacio et al (2015),Bonifacio et al (2015)a,2015,45.14689,7.600758,Observational,Forest,Terrestrial,30,28,1,1,1,1,119.3611303,845.3847483,-128.3097394
Organic matter,Soil percentage organic matter,Soil carbon,y,5.2,2.169677395,4,4.833333333,1.926136028,4,SE,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1,127.41,436.0599996,-720.8500011
Soil organic matter,Percentage soil organic matter,Soil carbon,y,4.333333333,0.524404424,4,4.3,0.806225775,4,SE,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1,127.41,436.0599996,-720.8500011
Soil Organic carbon,,Soil carbon,y,2.5,0.070710678,8,2.9,0.106066017,8,SD,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,Observational,Forest,Terrestrial,12,1,1,0,0,0,237.05,564.74,-1059.489637
Soil Organic carbon,,Soil carbon,y,1.6,0.106066017,8,2,0.070710678,8,SD,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,Observational,Scrub,Terrestrial,1.5,0.2,0,0,NA,NA,237.05,564.74,-1059.489637
Total organic carbon,mg per gram of soil,Soil carbon,y,15.1708,2.676,3,20.9529,0.4807,3,SD,Kandelia obovata,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)a,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,3,1.35,1,0,NA,0,213.2,1264.319999,-215.2133284
Total organic carbon,mg per gram of soil,Soil carbon,y,13.4682,2.1955,3,20.9529,0.4807,3,SD,Cyperus malaccensis,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)b,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,1,1.35,0,0,0,0,213.2,1264.319999,-215.2133284
Soil organic matter,%,Soil carbon,y,7.1,1,10,5.9,0.4,10,SD,Trifolium repens,Ailanthus altissima,Constan-Nava et al. 2015,Constan-Nava et al. 2015a,2015,38.67944444,0.521944444,Observational,Forest,Terrestrial,0.07,22,0,1,1,1,NA,NA,NA
