EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3
Soil water content,% soil water content (0-10cm depth),Soil moisture,26.6,2.03,5,33.9,2.76,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Soil humidity,%,Soil moisture,24.5707,1.4024,5,28.421,1.9802,5,NA,Cupania vernalis,Ligustrum lucidum,Aragón et al (2014),Aragón et al (2014)a,2014,27.16666667,-65.58333333,Observational,Forest,Terrestrial,22,10,1,1,NA,1
Soil moisture content,Percentage moisture content of soil fresh weight,Soil moisture,15,8,25,19,6,25,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,Observational,Scrub,Terrestrial,1.95,1.125,1,0,1,0
Soil moisture percentage,Percent soil moisture,Soil moisture,24.73333333,4.550549417,4,21.8,3.990927211,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1
Soil moisture,Percentage soil moisture,Soil moisture,23,1.809696107,4,18.7,2.316246964,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1
Soil Water content,,Soil moisture,33.92985,0.787423882,6,38.238,0.817667905,6,,Scirpus mariqueter,Spartina alterniflora,Cheng et al (2010),Cheng et al (2009)a,2010,31.15,122,Observational,Freshwater wetland,Aquatic,1.65,1.35,0,0,NA,0
Relative soil moisture,,Soil moisture,0.26476,0.142635107,10,0.158416667,0.050227698,10,SD,Pascopyrum smithii,Bromus inermis,Fink and Wilson (2011),Fink and Wilson (2011)a,2011,49.06833333,-106.5308056,Observational,Grassland,Terrestrial,0.6,0.685,0,0,1,1
Soil water content,,Soil moisture,9.32,0.73,24,6.4,0.54,24,,Festuca campestris,Centaurea stoebe,Fraser et al (2011),Fraser et al (2011)a,2011,50.75579,-120.465775,Observational,Grassland,Terrestrial,0.8,0.9,0,0,1,1
Soil moisture,Percentage soil moisture (0-10cm depth),Soil moisture,71,2,4,67,2,4,,Metrosideros polymorpha,Hedychium gardnerianum,Funk 2005,Funk 2005a,2005,19.41666667,-155.25,Observational,Forest,Terrestrial,22.5,2.4,1,0,1,1
Soil moisture,g,Soil moisture,8,NA,NA,8.8,NA,NA,,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)a,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil moisture,g,Soil moisture,8,NA,NA,9.1,NA,NA,,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)b,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
Soil moisture,g,Soil moisture,8,NA,NA,8.7,NA,NA,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)c,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1
