"","x"
"1","Encelia farinosa"
"2","Metrosideros polymorpha"
"3","Eleocharis smallii"
"4","Cupania porphyria"
"5","Styphelia tameiameiae"
"6","Festuca ovina"
"7","Pleuraphis jamesii"
"8","Carex lurida"
"9","Krascheninnikovia lanata"
"10","Quercus robur"
"11","Artemisia tridentata"
"12","Atriplex confertifolia"
"13","Salix caprea"
"14","Grass sp"
"15","Ulmus minor"
"16","Fraxinus angustifolia"
"17","Propsopis juliflora"
"18","Opuntia caracassana"
"19","Dactylis glomerata"
"20","Agrostis stolonifera"
"21","Calamagrostis epigejos"
"22","Kandelia obovata"
"23","Cyperus malaccensis"
"24","Phragmites australis"
"25","Scirpus mariqueter"
"26","Bouteloua gracialis"
"27","Populus deltoides"
"28","Trifolium repens"
"29","Festuca arundinacea"
"30","Themeda trianda"
"31","Forb spp"
"32","Vaccinium pallidum"
"33","Paspulum conjugatum"
"34","Typha latifolia"
"35","Pascopyrum smithii"
"36","Banksia menziesii"
"37","Banksia spp"
"38","Festuca campestris"
"39","Euclea racemosa"
"40","Ficinia sp."
"41","Typha x glauca"
"42","Distichlis spicata"
"43","Atriplex canescens"
"44","Festuca idahoensis"
"45","Corema album"
"46","Hesperostipa comata"
"47","Quercus alba"
"48","Achillea millefolium"
"49","Pseudoroegneria spicata"
"50","Planchonella samoensis"
"51","Agrostis halli"
"52","Festuca rubra"
"53","Nassella pulchra"
"54","Epilobium hirsutum"
"55","Glechoma hederacea"
"56","Eupatorium cannabinum"
"57","Quercus ilex"
"58","Eupatorium perfoliatum"
"59","Acacia longifolia"
"60","Selaginella densa"
"61","Pinus rigida"
"62","Taxodium distichum"
"63","Acer rubrum"
"64","Carya laciniosa"
"65","Fraxinus anustifola"
"66","Poplus alba"
"67","Leucospermum parile"
"68","Setaria plicata"
"69","Retama raetam"
"70","Anthemis arvensis"
"71","Avena fatua"
"72","Cynodon dactylon"
"73","Toxicodendron vernicifluu"
"74","Pinus pinaster"
"75","Andropogon gerardii"
"76","Panicum virgatum"
"77","Liriodendron tulipifera"
"78","Alloteropsis semialata"
"79","Sagittaria latifolia"
"80","Schizachyrium scoparium"
"81","Anthoxanthum odoratum"
"82","Poa cita"
"83","Prosopis cineraria"
"84","Oryzopsis hymenoides"
"85","Paspalum quadrifarium"
"86","Acrachne racemosa"
"87","Urtica dioica"
"88","Arrhenatherum elatius"
"89","Carex arenaria"
"90","Rubus fruticosus"
"91","Petasites hybridus"
"92","Spartina patens"
"93","Muhlenbergia montana"
"94","Protea scolymocephela"
"95","Pennisetum ciliare"
"96","Falcataria moluccana"
"97","Ligustrum lucidum"
"98","Melinis minutiflora"
"99","Elaeagnus umbellata"
"100","Bromus tectorum"
"101","Phalaris arundinacea"
"102","Quercus rubra"
"103","Robinia pseudoacacia"
"104","Alianthis altissima"
"105","Kalanchoe daigremontiana"
"106","Stapelia gigantea"
"107","Solidago gigantea"
"108","Spartina alterniflor"
"109","Spartina alterniflora"
"110","Agropyron cristatum"
"111","Tamarix chinensis"
"112","Ailanthus altissima"
"113","Cortaderia selloana"
"114","Pennisetum polystachion"
"115","Aegilops triuncialis"
"116","Berberis thunbergii"
"117","Lantana camara"
"118","Lythrum salicaria"
"119","Bromus inermis"
"120","Ehrharta calycina"
"121","Pelargonium capitatum"
"122","Centaurea stoebe"
"123","Hedychium gardnerianum"
"124","Pennisetum clandestinum"
"125","Acacia saligna"
"126","Carex stricta"
"127","Spartina anglica"
"128","Eragrostis lehmanniana"
"129","Tamarix spp"
"130","Cytisus scoparius"
"131","Acacia longifola"
"132","Rhamnus cathartica"
"133","Centaurea maculosa"
"134","Avena barbata"
"135","Brachypodium distachyon"
"136","Prunus serotina"
"137","Heracleum mantegazzianum"
"138","Fallopia japonica"
"139","Myrica cerifera"
"140","Acacia dealbata"
"141","Microstegium vimineum"
"142","Chrysanthemoides monilifera"
"143","Melaleuca quinquenervia"
"144","Lonicera maackii in"
"145","Tamarix ramosissima"
"146","Ageratina adenophora"
"147","Haloxylon persicum"
"148","Oxalis pes-caprae"
"149","Cynara cardunculus"
"150","Ambrosia artemisiifolia"
"151","Andropogon bladhii"
"152","Rhamnus davurica"
"153","Alianthus altissima"
"154","Andropogon gayanus"
"155","Sorghum halepense"
"156","Arundo donax"
"157","Pilosella officinarum"
"158","Prosopis juliflora"
"159","Parthenium hysterophorus"
"160","Mimulus guttatus"
"161","Rosa rugosa"
"162","Melilotus spp"
"163","Lupinus luteus"
