"","Species","Region","Country","Origin"
"1","Acacia cyclops","america","Continental US","Unknown"
"2","Acacia cyclops","america","Alaska","Unknown"
"3","Acacia cyclops","america","Canada","Unknown"
"4","Acacia cyclops","america","Caribbean Territories","Unknown"
"5","Acacia cyclops","america","Central Pacific Territories","Unknown"
"6","Acacia cyclops","america","Hawaii","Unknown"
"7","Acacia cyclops","america","Mexico","Unknown"
"8","Acacia cyclops","europe","Albania","Unknown"
"9","Acacia cyclops","europe","Austria","Unknown"
"10","Acacia cyclops","europe","Azores","Unknown"
"11","Acacia cyclops","europe","Belgium","Unknown"
"12","Acacia cyclops","europe","Islas_Baleares","Unknown"
"13","Acacia cyclops","europe","Britain","Unknown"
"14","Acacia cyclops","europe","Bulgaria","Unknown"
"15","Acacia cyclops","europe","Corse","Unknown"
"16","Acacia cyclops","europe","Kriti","Unknown"
"17","Acacia cyclops","europe","Czechoslovakia","Unknown"
"18","Acacia cyclops","europe","Denmark","Unknown"
"19","Acacia cyclops","europe","Faroer","Unknown"
"20","Acacia cyclops","europe","Finland","Unknown"
"21","Acacia cyclops","europe","France","Unknown"
"22","Acacia cyclops","europe","Germany","Unknown"
"23","Acacia cyclops","europe","Greece","Unknown"
"24","Acacia cyclops","europe","Ireland","Unknown"
"25","Acacia cyclops","europe","Switzerland","Unknown"
"26","Acacia cyclops","europe","Netherlands","Unknown"
"27","Acacia cyclops","europe","Spain","Unknown"
"28","Acacia cyclops","europe","Hungary","Unknown"
"29","Acacia cyclops","europe","Iceland","Unknown"
"30","Acacia cyclops","europe","Italy","Unknown"
"31","Acacia cyclops","europe","Jugoslavia","Unknown"
"32","Acacia cyclops","europe","Portugal","Unknown"
"33","Acacia cyclops","europe","Norway","Unknown"
"34","Acacia cyclops","europe","Poland","Unknown"
"35","Acacia cyclops","europe","Romania","Unknown"
"36","Acacia cyclops","europe","USSR","Unknown"
"37","Acacia cyclops","europe","Sardegna","Unknown"
"38","Acacia cyclops","europe","Svalbard","Unknown"
"39","Acacia cyclops","europe","Sicilia","Unknown"
"40","Acacia cyclops","europe","Sweden","Unknown"
"41","Acacia cyclops","europe","Turkey","Unknown"
"42","Acacia cyclops","europe","USSR_Northern_Division","Unknown"
"43","Acacia cyclops","europe","USSR_Baltic_Division","Unknown"
"44","Acacia cyclops","europe","USSR_Central_Division","Unknown"
"45","Acacia cyclops","europe","USSR_South_western","Unknown"
"46","Acacia cyclops","europe","USSR_Krym","Unknown"
"47","Acacia cyclops","europe","USSRSouth_eastern_Division","Unknown"
"48","Acacia dealbata","america","Continental US","Unknown"
"49","Acacia dealbata","america","Alaska","Unknown"
"50","Acacia dealbata","america","Canada","Unknown"
"51","Acacia dealbata","america","Caribbean Territories","Unknown"
"52","Acacia dealbata","america","Central Pacific Territories","Unknown"
"53","Acacia dealbata","america","Hawaii","Unknown"
"54","Acacia dealbata","america","Mexico","Unknown"
"55","Acacia dealbata","europe","Albania","Unknown"
"56","Acacia dealbata","europe","Austria","Unknown"
"57","Acacia dealbata","europe","Azores","Unknown"
"58","Acacia dealbata","europe","Belgium","Unknown"
"59","Acacia dealbata","europe","Islas_Baleares","Unknown"
"60","Acacia dealbata","europe","Britain","Unknown"
"61","Acacia dealbata","europe","Bulgaria","Unknown"
"62","Acacia dealbata","europe","Corse","Unknown"
"63","Acacia dealbata","europe","Kriti","Unknown"
"64","Acacia dealbata","europe","Czechoslovakia","Unknown"
"65","Acacia dealbata","europe","Denmark","Unknown"
"66","Acacia dealbata","europe","Faroer","Unknown"
"67","Acacia dealbata","europe","Finland","Unknown"
"68","Acacia dealbata","europe","France","Unknown"
"69","Acacia dealbata","europe","Germany","Unknown"
"70","Acacia dealbata","europe","Greece","Unknown"
"71","Acacia dealbata","europe","Ireland","Unknown"
"72","Acacia dealbata","europe","Switzerland","Unknown"
"73","Acacia dealbata","europe","Netherlands","Unknown"
"74","Acacia dealbata","europe","Spain","Unknown"
"75","Acacia dealbata","europe","Hungary","Unknown"
"76","Acacia dealbata","europe","Iceland","Unknown"
"77","Acacia dealbata","europe","Italy","Unknown"
"78","Acacia dealbata","europe","Jugoslavia","Unknown"
"79","Acacia dealbata","europe","Portugal","Unknown"
"80","Acacia dealbata","europe","Norway","Unknown"
"81","Acacia dealbata","europe","Poland","Unknown"
"82","Acacia dealbata","europe","Romania","Unknown"
"83","Acacia dealbata","europe","USSR","Unknown"
"84","Acacia dealbata","europe","Sardegna","Unknown"
"85","Acacia dealbata","europe","Svalbard","Unknown"
"86","Acacia dealbata","europe","Sicilia","Unknown"
"87","Acacia dealbata","europe","Sweden","Unknown"
"88","Acacia dealbata","europe","Turkey","Unknown"
"89","Acacia dealbata","europe","USSR_Northern_Division","Unknown"
"90","Acacia dealbata","europe","USSR_Baltic_Division","Unknown"
"91","Acacia dealbata","europe","USSR_Central_Division","Unknown"
"92","Acacia dealbata","europe","USSR_South_western","Unknown"
"93","Acacia dealbata","europe","USSR_Krym","Unknown"
"94","Acacia dealbata","europe","USSRSouth_eastern_Division","Unknown"
"95","Acacia longifolia","america","Continental US","Unknown"
"96","Acacia longifolia","america","Alaska","Unknown"
"97","Acacia longifolia","america","Canada","Unknown"
"98","Acacia longifolia","america","Caribbean Territories","Unknown"
"99","Acacia longifolia","america","Central Pacific Territories","Unknown"
"100","Acacia longifolia","america","Hawaii","Unknown"
"101","Acacia longifolia","america","Mexico","Unknown"
"102","Acacia longifolia","europe","Albania","Unknown"
"103","Acacia longifolia","europe","Austria","Unknown"
"104","Acacia longifolia","europe","Azores","Unknown"
"105","Acacia longifolia","europe","Belgium","Unknown"
"106","Acacia longifolia","europe","Islas_Baleares","Unknown"
"107","Acacia longifolia","europe","Britain","Unknown"
"108","Acacia longifolia","europe","Bulgaria","Unknown"
"109","Acacia longifolia","europe","Corse","Unknown"
"110","Acacia longifolia","europe","Kriti","Unknown"
"111","Acacia longifolia","europe","Czechoslovakia","Unknown"
"112","Acacia longifolia","europe","Denmark","Unknown"
"113","Acacia longifolia","europe","Faroer","Unknown"
"114","Acacia longifolia","europe","Finland","Unknown"
"115","Acacia longifolia","europe","France","Unknown"
"116","Acacia longifolia","europe","Germany","Unknown"
"117","Acacia longifolia","europe","Greece","Unknown"
"118","Acacia longifolia","europe","Ireland","Unknown"
"119","Acacia longifolia","europe","Switzerland","Unknown"
"120","Acacia longifolia","europe","Netherlands","Unknown"
"121","Acacia longifolia","europe","Spain","Unknown"
"122","Acacia longifolia","europe","Hungary","Unknown"
"123","Acacia longifolia","europe","Iceland","Unknown"
"124","Acacia longifolia","europe","Italy","Unknown"
"125","Acacia longifolia","europe","Jugoslavia","Unknown"
"126","Acacia longifolia","europe","Portugal","Unknown"
"127","Acacia longifolia","europe","Norway","Unknown"
"128","Acacia longifolia","europe","Poland","Unknown"
"129","Acacia longifolia","europe","Romania","Unknown"
"130","Acacia longifolia","europe","USSR","Unknown"
"131","Acacia longifolia","europe","Sardegna","Unknown"
"132","Acacia longifolia","europe","Svalbard","Unknown"
"133","Acacia longifolia","europe","Sicilia","Unknown"
"134","Acacia longifolia","europe","Sweden","Unknown"
"135","Acacia longifolia","europe","Turkey","Unknown"
"136","Acacia longifolia","europe","USSR_Northern_Division","Unknown"
"137","Acacia longifolia","europe","USSR_Baltic_Division","Unknown"
"138","Acacia longifolia","europe","USSR_Central_Division","Unknown"
"139","Acacia longifolia","europe","USSR_South_western","Unknown"
"140","Acacia longifolia","europe","USSR_Krym","Unknown"
"141","Acacia longifolia","europe","USSRSouth_eastern_Division","Unknown"
"142","Acacia longifolia","america","Continental US","Unknown"
"143","Acacia longifolia","america","Alaska","Unknown"
"144","Acacia longifolia","america","Canada","Unknown"
"145","Acacia longifolia","america","Caribbean Territories","Unknown"
"146","Acacia longifolia","america","Central Pacific Territories","Unknown"
"147","Acacia longifolia","america","Hawaii","Unknown"
"148","Acacia longifolia","america","Mexico","Unknown"
"149","Acacia longifolia","europe","Albania","Unknown"
"150","Acacia longifolia","europe","Austria","Unknown"
"151","Acacia longifolia","europe","Azores","Unknown"
"152","Acacia longifolia","europe","Belgium","Unknown"
"153","Acacia longifolia","europe","Islas_Baleares","Unknown"
"154","Acacia longifolia","europe","Britain","Unknown"
"155","Acacia longifolia","europe","Bulgaria","Unknown"
"156","Acacia longifolia","europe","Corse","Unknown"
"157","Acacia longifolia","europe","Kriti","Unknown"
"158","Acacia longifolia","europe","Czechoslovakia","Unknown"
"159","Acacia longifolia","europe","Denmark","Unknown"
"160","Acacia longifolia","europe","Faroer","Unknown"
"161","Acacia longifolia","europe","Finland","Unknown"
"162","Acacia longifolia","europe","France","Unknown"
"163","Acacia longifolia","europe","Germany","Unknown"
"164","Acacia longifolia","europe","Greece","Unknown"
"165","Acacia longifolia","europe","Ireland","Unknown"
"166","Acacia longifolia","europe","Switzerland","Unknown"
"167","Acacia longifolia","europe","Netherlands","Unknown"
"168","Acacia longifolia","europe","Spain","Unknown"
"169","Acacia longifolia","europe","Hungary","Unknown"
"170","Acacia longifolia","europe","Iceland","Unknown"
"171","Acacia longifolia","europe","Italy","Unknown"
"172","Acacia longifolia","europe","Jugoslavia","Unknown"
"173","Acacia longifolia","europe","Portugal","Unknown"
"174","Acacia longifolia","europe","Norway","Unknown"
"175","Acacia longifolia","europe","Poland","Unknown"
"176","Acacia longifolia","europe","Romania","Unknown"
"177","Acacia longifolia","europe","USSR","Unknown"
"178","Acacia longifolia","europe","Sardegna","Unknown"
"179","Acacia longifolia","europe","Svalbard","Unknown"
"180","Acacia longifolia","europe","Sicilia","Unknown"
"181","Acacia cyclops","america","Continental US","Unknown"
