Family,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Woodiness,C3,C4,Nit_fix,Fabaceae
Fabaceae,Acacia cyclops,Acacia cyclops,TRUE,NCBI,0.988,South and West Australia,,,,8,3,,http://www.cabi.org/isc/datasheet/2197,,1,1,,1,Fabaceae
Fabaceae,Acacia dealbata,Acacia dealbata,TRUE,NCBI,0.988,Southeastern Australia and Tasmania,,,,15,2,,http://www.cabi.org/isc/datasheet/2207,,1,1,,1,Fabaceae
Fabaceae,Acacia longifola,Acacia longifolia,FALSE,Catalogue of Life,0.75,Southeastern Australia,,,,10,,,http://www.cabi.org/isc/datasheet/2312,,1,1,,1,Fabaceae
Fabaceae,Acacia longifolia,Acacia longifolia,TRUE,NCBI,0.988,Southeastern Australia,,,,,,10,http://www.cabi.org/isc/datasheet/2312,,1,1,,1,Fabaceae
Fabaceae,Acacia saligna,Acacia saligna,TRUE,NCBI,0.988,Southwestern Australia,,,,6,2,,http://www.cabi.org/isc/datasheet/2402,,1,1,,1,Fabaceae
Aceraceae,Acer rubrum,Acer rubrum,TRUE,NCBI,0.988,Eastern and Central North America,,,,,,15,https://en.wikipedia.org/wiki/Acer_rubrum,,1,1,,0,Aceraceae
Aceraceae,Acer saccharinum,Acer saccharinum,TRUE,NCBI,0.988,Eastern North America,,40,Non-native,35,15,,https://en.wikipedia.org/wiki/Acer_saccharinum,,1,1,,0,Aceraceae
Aceraceae,Acer saccharum,Acer saccharum,TRUE,Catalogue of Life,0.988,Eastern North America,,,,35,25,,https://en.wikipedia.org/wiki/Acer_saccharum,,1,1,,0,Aceraceae
Asteraceae,Achillea millefolium,Achillea millefolium,TRUE,NCBI,0.988,"Asia, Europe and North America",,0.387427413,Native,1,0.2,,https://en.wikipedia.org/wiki/Achillea_millefolium,,0,1,,0,Asteraceae
Poaceae,Acrachne racemosa,Acrachne racemosa,TRUE,NCBI,0.988,"Africa, Asia and Australia",Origin unsure,,,0.75,0.15,,http://www.kew.org/data/grasses-db/www/imp00017.htm,,0,1,,0,Poaceae
Poaceae,Aegilops triuncialis,Aegilops triuncialis,TRUE,NCBI,0.988,Eastern Mediterranean and Western Asia,,,,0.4,0.2,,http://www.issg.org/database/species/ecology.asp?si=1691,,0,1,,0,Poaceae
Asteraceae,Ageratina adenophora,Ageratina adenophora,TRUE,NCBI,0.988,Mexico and Central America,,,,2,1,,https://en.wikipedia.org/wiki/Ageratina_adenophora,,0,,,0,Asteraceae
Poaceae,Agropyron cristatum,Agropyron cristatum,TRUE,NCBI,0.988,Eurasia,,,,0.5,0.3,,https://en.wikipedia.org/wiki/Agropyron_cristatum,,0,1,,0,Poaceae
Poaceae,Agrostis halli,Agrostis hallii,FALSE,Catalogue of Life,0.75,Western North America,,,,,,1,https://en.wikipedia.org/wiki/Agrostis_hallii,,0,,,0,Poaceae
