,X,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Median_height
1,1,Acacia cyclops,Acacia cyclops,TRUE,NCBI,0.988,South and West Australia,,NA,,8,3,NA,http://www.cabi.org/isc/datasheet/2197,,5.5
2,2,Acacia dealbata,Acacia dealbata,TRUE,NCBI,0.988,Southeastern Australia and Tasmania,,NA,,15,2,NA,http://www.cabi.org/isc/datasheet/2207,,8.5
3,3,Acacia longifola,Acacia longifolia,FALSE,Catalogue of Life,0.75,Southeastern Australia,,NA,,10,NA,NA,http://www.cabi.org/isc/datasheet/2312,,NA
4,4,Acacia longifolia,Acacia longifolia,TRUE,NCBI,0.988,Southeastern Australia,,NA,,NA,NA,10,http://www.cabi.org/isc/datasheet/2312,,10
5,5,Acacia saligna,Acacia saligna,TRUE,NCBI,0.988,Southwestern Australia,,NA,,6,2,NA,http://www.cabi.org/isc/datasheet/2402,,4
6,6,Acer rubrum,Acer rubrum,TRUE,NCBI,0.988,Eastern and Central North America,,NA,,NA,NA,15,https://en.wikipedia.org/wiki/Acer_rubrum,,15
7,7,Acer saccharinum,Acer saccharinum,TRUE,NCBI,0.988,Eastern North America,,40,Non-native,35,15,NA,https://en.wikipedia.org/wiki/Acer_saccharinum,,25
8,8,Acer saccharum,Acer saccharum,TRUE,Catalogue of Life,0.988,Eastern North America,,NA,,35,25,NA,https://en.wikipedia.org/wiki/Acer_saccharum,,30
9,9,Achillea millefolium,Achillea millefolium,TRUE,NCBI,0.988,"Asia, Europe and North America",,0.387427413,Native,1,0.2,NA,https://en.wikipedia.org/wiki/Achillea_millefolium,,0.6
10,10,Acrachne racemosa,Acrachne racemosa,TRUE,NCBI,0.988,"Africa, Asia and Australia",Origin unsure,NA,,0.75,0.15,NA,http://www.kew.org/data/grasses-db/www/imp00017.htm,,0.45
11,11,Aegilops triuncialis,Aegilops triuncialis,TRUE,NCBI,0.988,Eastern Mediterranean and Western Asia,,NA,,0.4,0.2,NA,http://www.issg.org/database/species/ecology.asp?si=1691,,0.3
12,12,Ageratina adenophora,Ageratina adenophora,TRUE,NCBI,0.988,Mexico and Central America,,NA,,2,1,NA,https://en.wikipedia.org/wiki/Ageratina_adenophora,,1.5
13,13,Agropyron cristatum,Agropyron cristatum,TRUE,NCBI,0.988,Eurasia,,NA,,0.5,0.3,NA,https://en.wikipedia.org/wiki/Agropyron_cristatum,,0.4
14,14,Agrostis halli,Agrostis hallii,FALSE,Catalogue of Life,0.75,Western North America,,NA,,NA,NA,1,https://en.wikipedia.org/wiki/Agrostis_hallii,,1
15,15,Agrostis,Agrostis,TRUE,Catalogue of Life,0.75,,,NA,,NA,NA,NA,,,NA
16,16,Agrostis stolonifera,Agrostis stolonifera,TRUE,NCBI,0.988,Eurasia and North Africa,,NA,,1,0.4,NA,https://en.wikipedia.org/wiki/Agrostis_stolonifera,,0.7
17,17,Ailanthus altissima,Ailanthus altissima,TRUE,NCBI,0.988,Northeast and Central China,,25.49509757,Non-native,27,17,NA,https://en.wikipedia.org/wiki/Ailanthus_altissima,,22
18,18,Alectryon excelsus,Alectryon excelsus,TRUE,Catalogue of Life,0.988,New Zealand,,NA,,NA,NA,9,https://en.wikipedia.org/wiki/Alectryon_excelsus,,9
19,19,Alianthus altissima,Ailanthus altissima,FALSE,Catalogue of Life,0.75,Northeast and Central China,,25.49509757,Non-native,27,17,NA,https://en.wikipedia.org/wiki/Ailanthus_altissima,,22
20,20,Allaria petiolata,Alliaria petiolata,FALSE,Catalogue of Life,0.75,"Europe, North Africa, Western China",,0.397905721,Native,1,0.3,NA,https://en.wikipedia.org/wiki/Alliaria_petiolata,,0.65
21,21,Alloteropsis semialata,Alloteropsis semialata,TRUE,NCBI,0.988,Unclear,,NA,,1.5,0.2,NA,http://www.kew.org/data/grasses-db/www/imp00335.htm,,0.85
