RR,H_Diff,CWD
0.087585613,0.477121255,-173.8503314
0.162507727,-0.062147907,-1063.657435
-0.549207684,-0.430124692,-1152.774563
-1.483652122,-0.430124692,-1200.140623
-0.522878745,0.034762106,-1191.14548
0.40970112,0.397940009,-154.3666816
0.548477163,0.455931956,-160.2375132
0.239339482,0.187086643,-148.9174787
0.219845349,0.249877473,-655.1550057
0.70404953,0.041392685,-1081.17125
-0.118239974,-0.176091259,-192.4375
0.149897478,0.057539321,-664.5389763
0.045292648,0.051152522,-540.7559305
1.981617808,0.455931956,-230.9458418
0.231145863,-0.397940009,-632.7051042
0.302763111,0.522878745,-159.3767843
-0.439332694,-0.15490196,-686.792145
-0.464886798,0.124938737,-686.792145
-0.28082661,-0.15490196,-686.792145
-0.225779043,0.124938737,-686.792145
-0.28082661,-0.15490196,-686.792145
-0.225779043,0.124938737,-686.792145
-0.184524427,-0.13827379,-681.113601
0.032184683,-0.13827379,-681.113601
0.032184683,-0.13827379,-681.113601
0.301029996,-0.15490196,-203.0269236
0.030719408,-0.170696227,-32.66250466
0.155718248,-0.210853365,-499.4267099
-0.296544987,-0.176091259,-190.1211595
-0.277277674,-0.191885526,-871.9424834
0.178091333,0.185636577,-988.5695935
0.483444648,0.22184875,-248.14
0.551449998,0.455931956,-165.4220483
0.630209874,0.367976785,-165.4220483
0.626419337,-165.4220483,-165.4220483
