EF_type,lat,long,CWD
Soil carbon,45.663007,-84.423323,-173.8503314
Soil carbon,37.69027778,-89.25388889,-284.9053235
Soil carbon,38.24878,-109.873495,-1376.690124
Soil carbon,39.279773,-86.573124,-205.1353894
Soil carbon,45.14689,7.600758,-128.3097394
Soil carbon,41,-117.58,-1152.774563
Soil carbon,40.99,-117.86,-1200.140623
Soil carbon,40.57,-118.34,-1191.14548
Soil carbon,40.56666667,-3.2,-720.8500011
Soil carbon,40.56666667,-3.2,-720.8500011
Soil carbon,10.12,-69.7,-1059.489637
Soil carbon,10.12,-69.7,-1059.489637
Soil carbon,50.85,4.416667,-154.3666816
Soil carbon,50.865778,4.469376,-160.2375132
Soil carbon,50.453569,3.819122,-148.9174787
Soil carbon,24.38333333,117.9,-215.2133284
Soil carbon,24.38333333,117.9,-215.2133284
Soil carbon,31.15,122,NA
Soil carbon,49.36666667,-107.8833333,-655.1550057
Soil carbon,38.67944444,0.521944444,NA
Soil carbon,23.66631667,113.1498667,-116.1983832
Soil carbon,-31.947447,115.781136,-1253.954651
Soil carbon,-31.947556,115.78105,-1253.964822
Soil carbon,50.75579,-120.465775,-540.7559305
Soil carbon,-34.5483,19.46143611,-682.6595422
Soil carbon,-34.5483,19.46143611,-682.6595422
Soil carbon,41.654373,-87.052651,-217.5501406
Soil carbon,41.654373,-87.052651,-217.5501406
Soil carbon,41.654373,-87.052651,-217.5501406
Soil carbon,46.91666667,-123.2666667,-230.9458418
Soil carbon,38.25,-8.766666667,-792.725
Soil carbon,50.34546,-109.995117,-632.7051042
Soil carbon,42.149755,-87.780998,-234.174568
Soil carbon,42.143742,-88.042717,-218.4255292
Soil carbon,41.81457,-88.055935,-222.3460671
Soil carbon,42.149755,-87.780998,-234.174568
Soil carbon,45.45833333,-110.6066667,-654.0683068
Soil carbon,25.39833333,-110.7033333,NA
Soil carbon,46.55,-111.7616667,-770.4920091
Soil carbon,45.595,-111.09,-535.8938144
Soil carbon,45.77833333,-111.26,-734.0070858
Soil carbon,45.59833333,-111.195,-598.6954239
Soil carbon,45.665,-110.6916667,-537.4452988
Soil carbon,45.66,-110.665,-596.6749753
Soil carbon,45.64333333,-110.9216667,-494.5296427
Soil carbon,37.862,122.524,NA
Soil carbon,37.862,122.524,NA
Soil carbon,37.931,122.673,NA
Soil carbon,50.25936,6.06888,-28.41109501
Soil carbon,51.21992,4.39625,-156.3565078
Soil carbon,50.800919,4.414715,-123.8754623
Soil carbon,51.05844,5.27176,-124.3126141
Soil carbon,19.733421,-155.090389,NA
Soil carbon,42.811389,10.416355,-489.9035013
Soil carbon,42.811389,10.416355,-489.9035013
Soil carbon,49.36666667,107.8833333,-271.6991737
Soil carbon,25.995081,-81.482849,-499.4267099
Soil carbon,25.995081,-81.482849,-499.4267099
Soil carbon,40.11666667,105.3,-966.84
Soil carbon,38.015313,-84.505241,-156.2691002
Soil carbon,38.015313,-84.505241,-156.2691002
Soil carbon,38.015313,-84.505241,-156.2691002
Soil carbon,40.57530556,-3.229611111,-737.9007168
Soil carbon,40.94677778,-2.937694444,-656.7549402
Soil carbon,24.70394444,102.8801667,-383.5805304
Soil carbon,9.011666667,33.66555556,-1114.611882
Soil carbon,24.8,113.6,-162.1745781
Soil carbon,24.8,113.6,-162.1745781
Soil carbon,39.098744,-96.606152,-414.1661735
Soil carbon,41.61666667,-83.23333333,-248.14
Soil carbon,28.9587,-100.645,-1210.283622
Soil carbon,-44.649116,170.403442,-293.2583498
Soil carbon,-44.649116,170.403442,-293.2583498
Soil carbon,27.5,76,-1187.562531
Soil carbon,33.88783333,-88.6345,-241.207448
Soil carbon,37.281008,-80.475236,-182.9042191
Soil carbon,28.125761,84.717856,-266.640277
Soil carbon,26.01,119.57,-122.8901304
Soil carbon,26.01,119.57,-122.8901304
Soil carbon,57.13333333,-2.633333333,-32.72832887
Soil carbon,57.13333333,-2.633333333,-32.72832887
Soil carbon,41.935998,-70.044708,-163.6608096
Soil carbon,39.576619,-74.331007,-196.1563285
Soil carbon,-33.497101,18.589897,-1013.429184
